10,30,0,95
13,26,4,284
3,19,2,62
18,33,1,183
11,28,1,261
4,42,1,249
1,41,4,302
4,28,8,36
5,42,4,44
13,45,3,55
9,30,3,184
5,44,4,146
16,41,1,91
7,22,4,209
13,34,6,132
7,30,0,55
1,19,6,56
12,41,8,132
12,31,2,300
8,37,7,75
9,30,0,106
16,34,2,143
8,38,2,131
9,44,4,39
14,41,1,292
14,49,4,319
19,29,5,103
14,39,5,325
6,23,7,28
19,34,3,337
11,45,5,115
8,44,7,68
12,46,3,211
9,48,0,258
10,32,7,240
10,38,2,305
1,32,8,302
8,47,7,303
1,23,3,209
3,43,3,127
12,50,7,332
5,38,7,293
8,26,2,297
6,29,3,60
14,41,7,65
8,48,5,158
5,29,8,58
7,38,1,335
18,28,2,173
5,40,6,27
13,41,3,326
11,37,7,92
8,40,1,281
2,48,5,276
3,29,0,113
12,36,5,246
10,47,1,95
19,44,2,241
5,26,3,333
1,19,5,331
3,31,1,205
17,46,1,229
18,20,4,127
16,20,4,314
4,46,3,211
7,34,0,221
4,25,7,301
4,32,2,258
3,34,8,312
6,37,5,108
6,44,4,151
15,43,3,229
1,22,1,148
8,32,6,258
7,40,2,294
6,21,4,132
2,48,3,322
20,25,5,288
12,43,3,219
19,45,1,243
12,48,4,266
15,34,6,102
17,26,6,31
5,24,7,304
3,21,1,132
13,37,2,89
5,48,5,166
12,32,1,289
14,21,4,95
11,19,3,213
16,31,1,103
15,22,4,310
3,25,2,250
10,48,6,148
6,40,3,31
16,35,2,159
10,38,6,277
11,21,6,177
18,23,2,109
5,35,2,90
